time,count,positive,neutral,negative
1359932400,881,91,775,15
1359932700,826,99,694,33
1359933000,1081,96,951,34
1359933300,992,105,843,44
1359933600,997,106,843,48
1359933900,995,74,861,60
1359934200,1047,77,946,24
1359934500,750,64,666,20
1359934800,837,68,737,32
1359935100,689,56,595,38
1359935400,637,50,548,39
1359935700,640,47,563,30
1359936000,668,59,581,28
1359936300,742,81,627,34
1359936600,667,42,581,44
1359936900,508,45,439,24
1359937200,713,44,634,35
1359937500,654,52,574,28
1359937800,692,52,599,41
1359938100,640,54,534,52
1359938400,582,51,483,48
1359938700,692,56,609,27
1359939000,753,55,648,50
1359939300,612,55,520,37
1359939600,574,68,485,21
1359939900,669,54,588,27
1359940200,874,58,790,26
1359940500,835,68,726,41
1359940800,833,94,684,55
1359941100,492,64,398,30
1359941400,721,60,633,28
1359941700,745,45,647,53
1359942000,584,25,504,55
1359942300,513,18,457,38
1359942600,445,26,382,37
1359942900,393,16,349,28
1359943200,363,23,311,29
1359943500,358,30,298,30
1359943800,440,23,392,25
1359944100,330,31,269,30
1359944400,317,21,270,26
1359944700,562,45,485,32
1359945000,691,29,631,31
1359945300,581,43,508,30
1359945600,540,20,487,33
1359945900,543,29,479,35
1359946200,461,29,406,26
1359946500,438,33,375,30
1359946800,384,39,325,20
1359947100,513,40,452,21
1359947400,408,26,350,32
1359947700,415,27,373,15
1359948000,457,20,416,21
1359948300,454,23,410,21
1359948600,541,23,487,31
1359948900,656,29,588,39
1359949200,713,48,634,31
1359949500,1396,207,1158,31
1359949800,827,130,659,38
1359950100,570,82,458,30
1359950400,637,78,528,31
1359950700,485,68,383,34
1359951000,377,54,305,18
1359951300,287,39,235,13
1359951600,251,49,188,14
1359951900,220,25,179,16
