time,count,positive,neutral,negative
1359932400,674,80,573,21
1359932700,651,77,551,23
1359933000,795,77,694,24
1359933300,836,98,695,43
1359933600,1289,155,1063,71
1359933900,1162,116,994,52
1359934200,1050,91,916,43
1359934500,941,102,792,47
1359934800,1006,85,876,45
1359935100,1102,78,962,62
1359935400,896,91,748,57
1359935700,850,83,718,49
1359936000,884,113,730,41
1359936300,810,89,676,45
1359936600,830,88,701,41
1359936900,825,88,684,53
1359937200,851,89,717,45
1359937500,837,75,720,42
1359937800,842,69,714,59
1359938100,839,98,695,46
1359938400,802,71,680,51
1359938700,1069,111,892,66
1359939000,971,104,805,62
1359939300,827,82,712,33
1359939600,854,92,717,45
1359939900,999,102,865,32
1359940200,1596,147,1378,71
1359940500,1847,192,1573,82
1359940800,1838,217,1506,115
1359941100,1215,172,955,88
1359941400,1125,118,945,62
1359941700,1245,65,1069,111
1359942000,1123,67,931,125
1359942300,1112,47,959,106
1359942600,835,50,705,80
1359942900,771,59,641,71
1359943200,756,44,651,61
1359943500,770,48,638,84
1359943800,784,81,641,62
1359944100,640,67,514,59
1359944400,629,66,501,62
1359944700,787,75,650,62
1359945000,762,52,670,40
1359945300,908,63,763,82
1359945600,876,66,748,62
1359945900,757,52,653,52
1359946200,647,67,534,46
1359946500,649,62,535,52
1359946800,834,103,673,58
1359947100,689,68,577,44
1359947400,647,63,538,46
1359947700,605,56,524,25
1359948000,581,54,503,24
1359948300,626,50,531,45
1359948600,675,69,561,45
1359948900,850,48,736,66
1359949200,955,89,792,74
1359949500,1844,292,1474,78
1359949800,983,217,710,56
1359950100,751,135,567,49
1359950400,829,155,619,55
1359950700,624,108,479,37
1359951000,574,106,435,33
1359951300,510,109,356,45
1359951600,389,88,268,33
1359951900,387,62,298,27
