time,count,positive,neutral,negative
1359932400,177,33,139,5
1359932700,191,30,152,9
1359933000,131,15,107,9
1359933300,161,21,134,6
1359933600,139,15,120,4
1359933900,126,23,100,3
1359934200,94,4,84,6
1359934500,127,11,110,6
1359934800,83,8,73,2
1359935100,94,10,75,9
1359935400,108,17,89,2
1359935700,95,6,85,4
1359936000,310,50,244,16
1359936300,156,12,134,10
1359936600,135,12,117,6
1359936900,289,37,233,19
1359937200,164,21,131,12
1359937500,174,25,142,7
1359937800,223,21,192,10
1359938100,352,39,301,12
1359938400,402,50,333,19
1359938700,451,53,378,20
1359939000,416,44,348,24
1359939300,1291,126,1132,33
1359939600,1770,206,1486,78
1359939900,2883,210,2563,110
1359940200,8487,514,7490,483
1359940500,6336,522,5360,454
1359940800,8269,712,7004,553
1359941100,4531,496,3681,354
1359941400,2104,243,1696,165
1359941700,1104,117,904,83
1359942000,933,53,793,87
1359942300,870,64,732,74
1359942600,709,44,605,60
1359942900,637,50,533,54
1359943200,577,56,448,73
1359943500,465,41,379,45
1359943800,401,49,333,19
1359944100,414,48,341,25
1359944400,437,50,365,22
1359944700,247,24,208,15
1359945000,158,15,137,6
1359945300,157,11,132,14
1359945600,146,16,122,8
1359945900,196,24,165,7
1359946200,212,24,178,10
1359946500,252,37,205,10
1359946800,206,18,180,8
1359947100,129,13,109,7
1359947400,184,22,152,10
1359947700,193,26,156,11
1359948000,162,19,137,6
1359948300,165,21,129,15
1359948600,136,11,113,12
1359948900,109,10,95,4
1359949200,96,14,78,4
1359949500,94,13,77,4
1359949800,144,20,120,4
1359950100,139,23,109,7
1359950400,188,32,150,6
1359950700,221,25,184,12
1359951000,266,48,210,8
1359951300,279,27,237,15
1359951600,264,33,220,11
1359951900,253,28,216,9
