time,count,positive,neutral,negative
1359932400,8252,968,6924,360
1359932700,8251,963,6876,412
1359933000,8773,908,7454,411
1359933300,8890,955,7369,566
1359933600,10610,1081,8890,639
1359933900,9159,989,7640,530
1359934200,8549,729,7377,443
1359934500,7906,719,6623,564
1359934800,7865,678,6760,427
1359935100,8828,777,7406,645
1359935400,7853,719,6563,571
1359935700,7855,849,6407,599
1359936000,7822,790,6467,565
1359936300,7657,757,6387,513
1359936600,7640,687,6445,508
1359936900,7369,833,6077,459
1359937200,7267,596,6229,442
1359937500,7889,703,6649,537
1359937800,7392,611,6259,522
1359938100,7723,750,6375,598
1359938400,7316,704,6040,572
1359938700,8297,884,6896,517
1359939000,6995,682,5835,478
1359939300,6880,630,5826,424
1359939600,6652,706,5560,386
1359939900,7426,668,6374,384
1359940200,10337,863,8910,564
1359940500,10999,942,9375,682
1359940800,10489,1073,8718,698
1359941100,6561,833,5248,480
1359941400,7125,653,6038,434
1359941700,8221,449,7097,675
1359942000,8580,374,7347,859
1359942300,8245,407,7057,781
1359942600,7257,443,6112,702
1359942900,6829,453,5757,619
1359943200,6631,511,5489,631
1359943500,6579,441,5503,635
1359943800,6458,512,5406,540
1359944100,5376,522,4378,476
1359944400,5541,523,4587,431
1359944700,6207,541,5216,450
1359945000,6409,444,5615,350
1359945300,6384,534,5374,476
1359945600,6477,473,5531,473
1359945900,5773,441,4927,405
1359946200,5413,507,4535,371
1359946500,5181,483,4305,393
1359946800,5819,610,4816,393
1359947100,4970,396,4257,317
1359947400,4939,461,4127,351
1359947700,4624,465,3870,289
1359948000,4524,396,3832,296
1359948300,4929,360,4254,315
1359948600,5208,404,4442,362
1359948900,5606,361,4724,521
1359949200,5593,425,4704,464
1359949500,7816,1126,6290,400
1359949800,5428,908,4152,368
1359950100,4892,715,3735,442
1359950400,5092,711,4013,368
1359950700,4315,663,3304,348
1359951000,3948,632,3000,316
1359951300,3517,622,2632,263
1359951600,3260,545,2476,239
1359951900,2807,477,2099,231
