time,count,positive,neutral,negative
1359932400,2322,240,2034,48
1359932700,2234,254,1907,73
1359933000,2615,224,2303,88
1359933300,2108,209,1833,66
1359933600,1938,214,1665,59
1359933900,2320,206,2045,69
1359934200,2580,188,2339,53
1359934500,2381,171,2141,69
1359934800,3898,216,3588,94
1359935100,1756,162,1528,66
1359935400,1863,144,1643,76
1359935700,1829,144,1588,97
1359936000,2601,211,2316,74
1359936300,1824,127,1620,77
1359936600,2027,145,1810,72
1359936900,1717,156,1513,48
1359937200,3626,203,3327,96
1359937500,2290,173,2044,73
1359937800,2218,168,1938,112
1359938100,1875,132,1574,169
1359938400,1414,118,1216,80
1359938700,2880,178,2625,77
1359939000,3409,260,2998,151
1359939300,1846,165,1595,86
1359939600,1527,185,1275,67
1359939900,1144,137,952,55
1359940200,716,70,611,35
1359940500,620,89,502,29
1359940800,756,95,624,37
1359941100,776,85,642,49
1359941400,4621,230,4249,142
1359941700,2492,158,2180,154
1359942000,1401,107,1170,124
1359942300,1332,97,1132,103
1359942600,1233,100,1014,119
1359942900,1050,71,893,86
1359943200,1079,88,909,82
1359943500,1092,70,920,102
1359943800,1602,127,1369,106
1359944100,1121,109,936,76
1359944400,1147,107,967,73
1359944700,1454,97,1233,124
1359945000,1374,39,1196,139
1359945300,1275,63,1108,104
1359945600,1458,37,1265,156
1359945900,1439,70,1255,114
1359946200,1474,77,1289,108
1359946500,1657,101,1459,97
1359946800,1220,71,1071,78
1359947100,1447,67,1246,134
1359947400,1255,74,1089,92
1359947700,1724,135,1502,87
1359948000,1722,89,1540,93
1359948300,1407,69,1223,115
1359948600,1481,77,1288,116
1359948900,3158,206,2826,126
1359949200,2834,248,2469,117
1359949500,6162,990,4994,178
1359949800,3563,731,2691,141
1359950100,2502,503,1896,103
1359950400,2536,494,1932,110
1359950700,2098,416,1560,122
1359951000,1846,362,1385,99
1359951300,1663,337,1257,69
1359951600,1438,276,1095,67
1359951900,1372,288,1022,62
