time,count,positive,neutral,negative
1359932400,689,152,504,33
1359932700,717,123,568,26
1359933000,675,93,558,24
1359933300,746,131,580,35
1359933600,1073,163,846,64
1359933900,939,175,716,48
1359934200,846,120,693,33
1359934500,604,81,483,40
1359934800,784,87,662,35
1359935100,795,101,633,61
1359935400,724,83,589,52
1359935700,910,117,724,69
1359936000,993,137,798,58
1359936300,977,113,797,67
1359936600,993,100,822,71
1359936900,899,117,720,62
1359937200,890,79,754,57
1359937500,1001,104,839,58
1359937800,798,94,638,66
1359938100,989,103,804,82
1359938400,894,125,694,75
1359938700,1258,194,985,79
1359939000,824,89,665,70
1359939300,801,106,634,61
1359939600,893,160,666,67
1359939900,1012,173,787,52
1359940200,2590,285,2102,203
1359940500,3249,302,2696,251
1359940800,2505,334,1981,190
1359941100,1337,174,1044,119
1359941400,1069,103,914,52
1359941700,1181,66,978,137
1359942000,1458,78,1214,166
1359942300,1554,92,1311,151
1359942600,1467,119,1207,141
1359942900,1388,123,1128,137
1359943200,1449,148,1160,141
1359943500,1367,124,1091,152
1359943800,1293,143,1051,99
1359944100,935,109,729,97
1359944400,951,108,746,97
1359944700,1168,129,956,83
1359945000,1082,88,937,57
1359945300,968,94,805,69
1359945600,1059,86,890,83
1359945900,940,87,785,68
1359946200,898,111,730,57
1359946500,985,116,809,60
1359946800,1294,183,1041,70
1359947100,1110,115,907,88
1359947400,866,92,692,82
1359947700,1102,151,893,58
1359948000,1090,100,921,69
1359948300,1056,95,887,74
1359948600,994,77,857,60
1359948900,1166,81,952,133
1359949200,1070,80,881,109
1359949500,1541,279,1181,81
1359949800,861,195,607,59
1359950100,771,146,562,63
1359950400,939,167,705,67
1359950700,665,108,506,51
1359951000,588,125,417,46
1359951300,558,115,399,44
1359951600,529,106,382,41
1359951900,423,74,320,29
