time,count,positive,neutral,negative
1359932400,421,41,369,11
1359932700,396,48,331,17
1359933000,519,52,441,26
1359933300,594,58,498,38
1359933600,825,101,671,53
1359933900,874,86,743,45
1359934200,928,93,803,32
1359934500,779,82,649,48
1359934800,838,89,718,31
1359935100,828,87,687,54
1359935400,796,74,647,75
1359935700,798,88,653,57
1359936000,898,94,747,57
1359936300,826,68,703,55
1359936600,862,83,719,60
1359936900,837,109,677,51
1359937200,954,79,804,71
1359937500,1074,111,885,78
1359937800,1023,87,851,85
1359938100,1111,114,902,95
1359938400,1117,98,929,90
1359938700,1385,142,1162,81
1359939000,1197,121,998,78
1359939300,1083,94,919,70
1359939600,1077,128,882,67
1359939900,1165,118,983,64
1359940200,1442,142,1214,86
1359940500,1579,149,1301,129
1359940800,1532,182,1242,108
1359941100,1119,132,909,78
1359941400,1368,110,1165,93
1359941700,1414,82,1188,144
1359942000,1614,70,1350,194
1359942300,1451,63,1213,175
1359942600,1209,63,984,162
1359942900,1140,72,962,106
1359943200,1135,80,937,118
1359943500,1075,71,882,122
1359943800,1134,104,925,105
1359944100,887,86,699,102
1359944400,990,88,799,103
1359944700,1178,115,973,90
1359945000,1325,77,1165,83
1359945300,1367,111,1166,90
1359945600,1354,94,1154,106
1359945900,1170,89,993,88
1359946200,1082,110,883,89
1359946500,1028,85,874,69
1359946800,1228,112,1026,90
1359947100,1108,73,958,77
1359947400,1117,118,899,100
1359947700,1078,108,903,67
1359948000,1018,78,867,73
1359948300,1131,73,978,80
1359948600,1233,89,1043,101
1359948900,1496,93,1262,141
1359949200,1547,141,1288,118
1359949500,2645,478,2055,112
1359949800,1709,307,1279,123
1359950100,1399,249,1044,106
1359950400,1393,253,1046,94
1359950700,1062,206,765,91
1359951000,1027,206,734,87
1359951300,891,174,649,68
1359951600,715,130,534,51
1359951900,647,115,482,50
